year,decade,month,month_name,state,species,activity,body_part,injury,provoked,gender,time_block,time_order,latitude,longitude
1992,1990s,8,Aug,South Australia,White Shark,Boarding,Torso,Non-Fatal,Unprovoked,Male,Late Afternoon,5,-34.2619,136.2642
1992,1990s,10,Oct,Queensland,White Shark,Boarding,,Fatal,Unprovoked,Male,Early Afternoon,4,-27.0214,153.4531
1993,1990s,1,Jan,Queensland,Other,Spearfishing,Arm/Hand,Non-Fatal,Provoked,Male,Morning,3,-19.6951,149.1937
1993,1990s,4,Apr,Tasmania,White Shark,Spearfishing,,Uninjured,Provoked,Male,,99,-40.9333,146.9833
1993,1990s,4,Apr,South Australia,White Shark,Spearfishing,Leg/Foot,Non-Fatal,Provoked,Male,Evening,6,-34.2241,138.0256
1993,1990s,6,Jun,Tasmania,White Shark,Diving,Other,Fatal,Unprovoked,Female,Morning,3,-40.9333,146.9833
1993,1990s,6,Jun,New South Wales,White Shark,Diving,Torso,Fatal,Unprovoked,Male,Morning,3,-28.6119,153.6289
1993,1990s,11,Nov,Western Australia,Tiger Shark,Diving,,Fatal,Provoked,Male,Late Afternoon,5,-17.9654,122.2379
1993,1990s,12,Dec,Queensland,Whaler Shark,Boarding,,Uninjured,Unprovoked,Male,,99,-23.1218,150.7514
1994,1990s,1,Jan,Queensland,Bull Shark,Swimming,Leg/Foot,Non-Fatal,Unprovoked,Male,Early Afternoon,4,-27.5419,152.8415
1994,1990s,1,Jan,Queensland,Bull Shark,Swimming,Leg/Foot,Non-Fatal,Unprovoked,Male,,99,-27.9961,153.4246
1994,1990s,2,Feb,South Australia,Wobbegong,Fishing,Leg/Foot,Non-Fatal,Provoked,Male,Evening,6,-37.3306,139.8528
1994,1990s,4,Apr,Queensland,Whaler Shark,Swimming,Arm/Hand,Non-Fatal,Unprovoked,Female,Morning,3,-28.0219,153.4354
1994,1990s,11,Nov,Victoria,Wobbegong,Diving,Torso,Non-Fatal,Provoked,Male,,99,-38.2114,145.0351
1995,1990s,2,Feb,Victoria,Other,Diving,,Uninjured,Provoked,Male,Early Morning,2,-38.5218,145.1194
1995,1990s,2,Feb,South Australia,Wobbegong,Boarding,Leg/Foot,Non-Fatal,Unprovoked,Male,,99,-35.5365,138.6712
1995,1990s,3,Mar,South Australia,White Shark,Boarding,Arm/Hand,Non-Fatal,Unprovoked,Male,Early Morning,2,-32.0892,132.9796
1995,1990s,3,Mar,New South Wales,Bull Shark,Boarding,,Uninjured,Unprovoked,Female,Early Morning,2,-33.8631,151.2409
1995,1990s,4,Apr,New South Wales,Wobbegong,Diving,Arm/Hand,Non-Fatal,Unprovoked,Male,,99,-37.0742,149.9059
1995,1990s,5,May,Western Australia,Tiger Shark,Diving,,Uninjured,Unprovoked,Male,Morning,3,-24.8502,113.1537
1995,1990s,9,Sep,Western Australia,White Shark,Diving,Torso,Fatal,Unprovoked,Male,Late Afternoon,5,-33.9111,120.6389
1995,1990s,10,Oct,Queensland,Tiger Shark,Standing in Water,Leg/Foot,Non-Fatal,Unprovoked,Female,Late Afternoon,5,-25.2771,152.8365
1995,1990s,11,Nov,New South Wales,Bull Shark,,Leg/Foot,Non-Fatal,Provoked,Male,,99,-29.5673,153.3381
1995,1990s,11,Nov,Queensland,Tiger Shark,Swimming,Leg/Foot,Non-Fatal,Unprovoked,Male,Late Afternoon,5,-23.1812,150.9347
